#A   Z  T1/2       T1/2(naked nucleus)  Decay Mode 
 3   1  3.888e+08  3.888e+08  B-
 7   4  4.598e+06  4.598e+06  EC
10   4  4.765e+13  4.765e+13  B-
14   6  1.799e+11  1.799e+11  B-
22  11  8.213e+07  1.516e+11  EC
26  13  1.287e+14  2.875e+13  ECB+
32  14  4.828e+09  4.828e+09  B-
32  15  1.232e+06  1.232e+06  B-
33  15  2.189e+06  2.189e+06  B-
35  16  7.561e+06  7.561e+06  B-
36  17  9.499e+12  9.499e+12  B-
37  18  3.020e+06  3.020e+06  EC
39  18  8.489e+09  8.489e+09  B-
42  18  1.038e+09  1.038e+09  B-
40  19  3.938e+16  3.938e+16  B-
41  20  3.219e+12  3.219e+12  EC
45  20  1.405e+07  1.405e+07  B-
47  20  3.919e+05  3.919e+05  B-
44  21  2.110e+05  2.110e+05  B-
46  21  7.239e+06  7.239e+06  B-
47  21  2.894e+05  2.894e+05  B-
48  21  1.572e+05  1.572e+05  B-
44  22  1.893e+09  1.893e+09  EC
48  23  1.380e+06  1.380e+06  EC
49  23  2.851e+07  2.851e+07  EC
50  23  4.418e+24  4.418e+24  EC
51  24  2.393e+06  2.393e+06  EC
52  25  4.831e+05  4.831e+05  EC
53  25  1.180e+14  1.180e+14  EC
54  25  2.698e+07  1.988e+13  ECB-
55  26  8.615e+07  8.615e+07  EC
59  26  3.844e+06  3.844e+06  B-
60  26  4.734e+13  4.734e+13  B-
56  27  6.673e+06  6.673e+06  EC
57  27  2.348e+07  2.348e+07  EC
58  27  6.122e+06  6.122e+06  EC
60  27  1.663e+08  1.663e+08  B-
56  28  3.156e+06  1.262e+12  ECB+
57  28  1.282e+05  1.282e+05  EC
59  28  2.398e+12  2.398e+12  EC
63  28  3.159e+09  3.159e+09  B-
66  28  1.966e+05  1.966e+05  B-
67  29  2.226e+05  2.226e+05  B-
65  30  2.105e+07  2.105e+07  EC
